Date,Business Unit,Reasons,Cycle Time,Errors
2024-01-01,Underwriting,Errors 7 > 5,9.9,7
2024-01-01,Client Services,Cycle time 32.5d > 25d,32.5,3
2024-01-01,Compliance,Errors 8 > 5,21.9,8
2024-01-01,Operations,Errors 7 > 5,15.2,7
2024-01-02,Underwriting,Errors 6 > 5,11.1,6
2024-01-02,Closing,Errors 6 > 5,13.2,6
2024-01-02,Compliance,Errors 7 > 5,19.9,7
2024-01-03,Underwriting,Cycle time 32.1d > 25d,32.1,3
2024-01-03,Client Services,Cycle time 26.9d > 25d,26.9,4
2024-01-03,Compliance,Errors 7 > 5,16.5,7
2024-01-04,Underwriting,Cycle time 30.2d > 25d; Errors 8 > 5,30.2,8
2024-01-04,Closing,Errors 8 > 5,24.0,8
2024-01-04,Client Services,Cycle time 31.0d > 25d; Errors 7 > 5,31.0,7
2024-01-04,Compliance,Cycle time 27.1d > 25d,27.1,4
2024-01-05,Closing,Errors 8 > 5,20.2,8
2024-01-05,Client Services,Cycle time 33.9d > 25d; Errors 7 > 5,33.9,7
2024-01-05,Compliance,Cycle time 31.2d > 25d,31.2,2
2024-01-08,Underwriting,Cycle time 27.5d > 25d; Errors 6 > 5,27.5,6
2024-01-08,Compliance,Cycle time 32.8d > 25d,32.8,2
2024-01-09,Compliance,Cycle time 30.4d > 25d; Errors 6 > 5,30.4,6
2024-01-09,Operations,Errors 7 > 5,14.8,7
2024-01-10,Client Services,Cycle time 31.3d > 25d; Errors 6 > 5,31.3,6
2024-01-10,Compliance,Errors 6 > 5,16.3,6
2024-01-11,Client Services,Cycle time 32.3d > 25d; Errors 6 > 5,32.3,6
2024-01-11,Compliance,Cycle time 27.1d > 25d,27.1,4
2024-01-12,Underwriting,Cycle time 33.5d > 25d,33.5,0
2024-01-12,Compliance,Errors 7 > 5,7.7,7
2024-01-15,Underwriting,Errors 6 > 5,13.7,6
2024-01-15,Closing,Cycle time 27.4d > 25d; Errors 6 > 5,27.4,6
2024-01-15,Compliance,Errors 6 > 5,12.8,6
2024-01-15,Operations,Errors 6 > 5,6.1,6
2024-01-16,Operations,Cycle time 25.4d > 25d,25.4,1
2024-01-17,Compliance,Cycle time 30.2d > 25d,30.2,0
2024-01-18,Client Services,Cycle time 25.1d > 25d,25.1,5
2024-01-18,Compliance,Errors 8 > 5,14.7,8
2024-01-19,Underwriting,Cycle time 27.0d > 25d,27.0,4
2024-01-19,Compliance,Errors 7 > 5,24.7,7
2024-01-22,Underwriting,Errors 7 > 5,21.8,7
2024-01-22,Operations,Errors 6 > 5,10.4,6
2024-01-23,Client Services,Cycle time 26.9d > 25d; Errors 8 > 5,26.9,8
2024-01-23,Compliance,Errors 6 > 5,24.1,6
2024-01-23,Operations,Errors 8 > 5,14.3,8
2024-01-24,Closing,Cycle time 31.5d > 25d,31.5,5
2024-01-24,Compliance,Errors 8 > 5,7.3,8
2024-01-25,Compliance,Errors 7 > 5,23.1,7
2024-01-25,Operations,Cycle time 28.3d > 25d; Errors 6 > 5,28.3,6
2024-01-26,Underwriting,Errors 8 > 5,23.5,8
2024-01-26,Client Services,Cycle time 31.3d > 25d,31.3,2
2024-01-26,Operations,Cycle time 28.1d > 25d; Errors 8 > 5,28.1,8
2024-01-29,Underwriting,Cycle time 33.3d > 25d,33.3,2
